,cpt_id,is_official,period_start,period_end,name,name_eng,keyword,keyword_eng,participants,max_team_member,max_file_per_day,prize,prize_info,merge_deadline,winner_show
16,229255,1,2019-11-11 0:00,2019-12-06 23:59,퇴근시간 버스승차인원 예측 경진대회,Bus Time Estimated Contest,"교통 | 제주시 | 공공 교통 위치 빅데이터와 AI로 버스 승객 이용 분석 | 회귀, RMSE","Transportation | Bus transportation use analysis with public transport location big data and AI | Regression, RMSE",911,5,10,700, 700만원,2020-07-18 23:59,3
17,229611,1,2019-11-11 0:00,2019-12-06 23:59,버스 운행시간 예측 경진대회,Bus time prediction competition,교통 | 공공 교통 위치 빅데이터와 AI로 버스 운행 시간 분석 | 회귀 | RMSE,"[Transport] Public transportation location Big data and AI bus time analysis-regression, RMSE",397,5,10,300, 300만원,2019-12-06 23:59,3
18,235401,1,2019-11-21 0:00,2020-01-12 23:59,금융 문자 분석 경진대회,Financial Character Analysis Contest,"금융 | KB금융그룹 | 금융 Mobile 문자 빅데이터와 AI로 스팸을 분류 | NLP, 분류, AUC","Finance | Classify Spam by Financial Mobile Character Big Data and AI | NLP, classification, AUC",936,5,3,2000," 2,000만원",2020-01-12 23:59,3
19,235492,1,2019-11-20 0:00,2020-03-20 23:59,위성 이미지 객체 검출 경진대회,Satellite Image Object Detection Contest,"국방 | 국방과학연구소 | 항공우주 빅데이터와 AI를 이용하여 이미지를 분석 | 위치, 분류 | mAP","[Defense] Analyze images using aerospace big data and AI-classification, mAP",354,5,5,0,000만원,2020-03-20 23:59,3
35,235546,1,2019-02-05 0:00,2019-07-19 23:59,KBO 타자 OPS 시각화 경진대회,KBO batter OPS visualization,"스포츠 | 스포츠 빅데이터와 AI를 이용하여 타자 OPS 예측 시각화 | Python, R  | 심사평가",[Sports] Visualizing batter OPS predictions using sports big data and AI-submission evaluation,176,5,3,200, 200만원,2019-07-19 23:59,3
39,235551,1,2020-01-16 0:00,2020-02-12 23:59,원자력발전소 상태 판단 경진대회,Nuclear Power Plant Status Contest Competition,"산업 | 한국수력원자력 | 발전소 빅데이터, AI 활용 발전소 상태 분류 | Log Loss ",Industry | Nuclear power plants sort thousands of power plant states with big data and AI | Log Loss,1144,5,3,1000,"1,000만원",2020-02-12 23:59,5
40,235554,1,2020-01-02 0:00,2020-02-02 23:59,반도체 박막 두께 분석 경진대회,Semiconductor thin film thickness analysis contest,월간 데이콘 1 | 산업 | 반도체 광스펙트럼 빅데이터와 AI로 박막 두께 측정 |  MAE,"Monthly Daycon 1 | Industry | Thin film thickness measurement with semiconductor optical spectrum big data and AI-spectrum, regression, MAE",860,3,15,83,83만원,2020-02-02 23:59,3
44,235573,1,2020-02-01 0:00,2020-02-29 23:59,천체 유형 분류 대회,Astro Type Classification Competition,월간 데이콘 2  | 과학 | 슬론 디지털 천체 관측 빅데이터와 AI로 천체 분류 | LogLoss,Monthly Daycon 2 | Science | Sloane Digital Astronomical Classification of Big Data and AI | LogLoss,911,3,10,154,154만원,2020-02-29 23:59,3
50,235583,1,2020-03-01 0:00,2020-04-15 17:59,행동 데이터 분석 인공지능 AI 경진대회,Behavior Data Analysis Contest,월간 데이콘 3  | 게임 | 스타크래프트2 게임 빅데이터와 AI를 활용 승패 예측 알고리즘| AUC,Monthly Day 3 | Games | StarCraft 2 game big data and AI predict win / loss | AUC,893,3,3,100,100만원,2020-03-31 23:59,3
51,235584,1,2020-03-01 0:00,2020-04-13 17:59,공공 데이터 활용 온도 추정 AI 경진대회,Public data utilization temperature estimation competition,AI프렌즈 시즌1  | 기상 | 한국기계연구원 | 지역별 Small 공공 데이터와 AI로 'My 기상청' 만들기 | MSE,AI Friends Season 1 | Weather | Creating 'My Meteorological Agency' with Small Public Data and AI by Region | MSE,1177,5,10,250,,2020-03-29 23:59,3
52,235585,1,2020-10-20 10:00,2020-11-16 17:59,랜드마크 분류 AI 경진대회,pandas tutorial,컴퓨터 비전 | 이미지 분류 | GAP,,388,5,5,1500,"1,500만원",2020-10-31 23:59,3
53,235590,1,2020-03-29 0:00,2020-05-10 17:59,코로나 데이터 시각화 AI 경진대회,Corona Data Visualization Contest," 월간 데이콘 4 | 의료 | 마이크로소프트 | 코로나 빅데이터를 AI로 시각화 | Python, R, Tableau | 투표 및 심사 평가","Monthly Daycon 4 | Medical | Visualize Corona Big Data with AI | Python, R, Tableau, voting evaluation",1751,5,10,250,250만원,2020-05-03 23:59,10
54,235591,1,2020-04-01 0:00,2020-05-25 18:05,위성관측 데이터 활용 강수량 산출 AI 경진대회 ,Precipitation calculation contest using satellite observation data," AI프렌즈 2  | 기상 | 한국원자력연구원 | 위성 이미지 빅데이터와 인공지능 AI 로 강수량 산출 | MAE,F1score","AI Friends Season 2 | Weather | Satellite image big data and AI make precipitation more accurate than NASA-MAE, F1score",799,5,10,250,,2020-05-06 23:59,3
66,235606,1,2020-05-01 0:00,2020-05-25 17:59,공공 데이터 활용 전력수요 및 SMP 예측 AI 경진대회,Electric Data Utilization Electric Power Demand and SMP Prediction Contest,"AI프렌즈 시즌3 | 에너지 | 한국전력연구원 | 공공 데이터  AI를 활용 전력 수요 예측 알고리즘| WRMSSE , Chrono",AI Friends Season 3 | Energy | Predicting future electricity demand through AI using public data | WRMSSE,423,5,10,250,,2020-05-15 23:59,3
67,235608,1,2020-05-15 0:00,2020-06-26 17:59,생체 광학 데이터 분석 AI 경진대회,Bio-optical Data Analysis Contest,월간 데이콘 5 | 바이오 | 코리아스타트업포럼 | 인공지능 AI 활용 생체 광학 분석 알고리즘 | MAE,Monthly Daycon 5 | Bio | AI-assisted bio-optical data analysis | MAE,779,3,10,360,,2020-06-11 23:59,10
69,235612,1,2020-06-01 10:00,2020-06-30 17:59,블럭 장난감 제조 공정 최적화 AI경진대회,,산업 | LG | 인공지능 AI 활용 제조 공정 최적화 알고리즘 | 강화학습,,655,5,10,600,,2020-06-20 23:59,3
70,235614,1,2020-06-01 10:00,2020-07-10 17:59,진동데이터 활용 충돌체 탐지 AI 경진대회,,산업 | 한국원자력연구원 | 인공지능 AI 활용 충돌체 탐지 알고리즘 | MSPE,,665,5,3,600,,2020-06-26 23:59,3
71,235615,1,2020-06-22 10:00,2020-07-31 17:59,제주 신용카드 빅데이터 경진대회,,금융 | 제주테크노파크 | 공공데이터 AI 활용 카드 사용량 예측 | RMSLE,,1538,5,3,600,,2020-07-17 23:59,3
72,235616,1,2020-06-25 10:00,2020-08-14 17:59,음성 중첩 데이터 분류 AI 경진대회,,월간 데이콘 6 | 소리 | 인공지능 AI 활용 목소리 분류 알고리즘 | KL Divergence,,441,3,3,103,100만원,2020-07-24 23:59,3
73,235618,1,2020-07-01 10:00,2020-07-31 18:00,포스트 코로나 데이터 시각화 경진대회,,KT | 유동인구 | 소비 | 포스트 코로나 | 투표 및 심사 평가,,1983,5,15,600,,2020-07-20 23:59,10
74,235622,1,2020-07-14 10:00,2020-09-04 18:00,국토교통 빅데이터 온라인 해커톤 경진대회,,국토교통부 | 빅데이터 | 포스트코로나 | 시각화 | 투표 및 심사평가,,957,5,10,1100,,2020-09-04 23:59,5
75,235624,1,2020-08-17 10:00,2020-09-29 18:00,산업제어시스템 보안위협 탐지 AI 경진대회,,산업 | 국가보안기술연구소 | 인공지능 AI 활용 위협 탐지 알고리즘 | TaPR | 비지도학습,,916,5,3,2000,,2020-09-14 23:59,5
76,235626,1,2020-08-03 10:00,2020-09-14 17:59,컴퓨터 비전 학습 경진대회,,월간 데이콘 7 | 글자에 숨겨진 숫자 이미지 예측  | MNIST | Accuracy | 유저평가,,945,3,3,100,,2020-08-31 23:59,10
83,235640,1,2020-09-01 10:00,2020-10-09 17:59,분자구조 이미지 SMILES 변환 AI 경진대회,,산업 | LG | 화학분자 이미지 텍스트 변환 SMILES | Similarity,,573,5,3,1000,"1,000만원",2020-09-26 23:59,3
85,235644,1,2020-09-23 10:00,2020-10-30 17:59,아리랑 위성영상 AI 객체 검출 경진대회,,컴퓨터 비전 | 객체 검출 | mAP,,416,5,5,1000,"1,000만원",2020-10-18 23:59,3
86,235646,1,2020-10-05 10:00,2020-11-13 17:59,공공데이터 활용 수력 댐 강우예측 AI 경진대회,,한국수력원자력 | 강우예측 | MAE/CSI,,451,5,3,1100,,2020-11-13 23:59,3
87,235647,1,2020-09-28 0:00,2020-11-16 17:59,심리 성향 예측 AI 경진대회,,월간 데이콘 8 | 심리 테스트 분석 | AUC | 분류,,1260,3,3,100,100만원+애플워치,2020-11-02 23:59,11
92,235655,1,2020-10-19 0:00,2020-11-19 17:59,딥페이크 변조 영상 탐지 AI 경진대회,,서울대 | 영상 | GAN | 분류 | Accuracy,,323,5,3,1000,"1,000만원",2020-11-14 23:59,3
93,235658,1,2020-11-23 0:00,2020-12-31 17:59,"AI야 , 진짜 뉴스를 찾아줘!  AI 경진대회",,"금융 | NH투자증권 | 텍스트 분류 | Accuracy + Time | 중복 참가 불가, 대학 재학생만 참가 가능",,491,3,3,2500,"총 5,000만원(League1,2 통합)",2020-12-18 23:59,3
94,235663,1,2020-11-23 0:00,2020-12-31 17:59,Y&Z세대 투자자 프로파일링 시각화 경진대회,,"금융 | NH투자증권 | 시각화 | 투표 및 심사평가 | 중복참가 불가, 대학 재학생만 참가 가능",,309,3,10,2500,"총 5,000만원(League1,2 통합)",2020-12-18 23:59,3
97,235668,1,2020-10-29 0:00,2020-11-13 23:59,꿈꾸는아이(AI) 전력 수요량 예측 경진대회,,전력 수요량 | 시계열 | SMAPE,,70,4,3,4850,,2020-11-13 23:59,0
99,235670,1,2020-10-29 0:00,2020-12-04 17:59,소설 작가 분류 AI 경진대회,,월간 데이콘 9 | 소설 문체 | NLP | Logloss,,667,10,3,100,100만원+애플워치,2020-11-27 23:59,11
100,235671,1,2020-11-11 10:00,2020-12-09 18:00,한국어 문서 추출요약 AI 경진대회,,Bflysoft | 추출 요약 | ROUGE-N,,389,5,3,1000,,2020-11-25 23:59,3
101,235672,1,2020-11-02 10:00,2020-11-20 17:59,K-Fashion AI 경진대회,,컴퓨터 비전 | 이미지 세분화 | mAP ,,354,5,5,1000,"1,000만원",2020-11-17 23:59,3
102,235673,1,2020-11-11 10:00,2020-12-09 18:00,한국어 문서 생성요약 AI 경진대회,,Bflysoft | 생성 요약 | ROUGE-N,,239,5,3,1000,,2020-11-25 23:59,3
106,235679,1,2020-11-24 13:00,2020-12-28 17:59,국회 입법활동 빅데이터 시각화 경진대회,,월간 데이콘 10 | 입법 | 시각화 | 유저평가,,329,3,3,100,100만원+애플워치,2020-12-15 23:59,3
107,235680,1,2020-12-09 12:00,2021-01-26 17:59,태양광 발전량 예측 AI 경진대회,,태양광 발전량 | 시계열ㅣPinball Loss,,781,4,3,600,,2021-01-11 23:59,3
109,235682,1,2020-12-14 10:00,2020-12-27 17:59,공간정보 탐색적 데이터 분석 경진대회,,국토도시 빅데이터 윈터스쿨 | 국토연구원 | 시각화 | 유저평가,,162,10,10,100,100만원,2020-12-23 23:59,3
